ID;Этаж;Помещение;Площадь м²;Стены;Пол;Потолок;Мебель и оборудование;Свет;Статус
R01;1;Гараж;47,75;моющаяся светло-серая краска по подготовленному основанию;промышленное полимерное покрытие;матовый влагостойкий;хранение инструмента и сезонных вещей;линейные светильники 4000К отдельной группой;концепция
R02;1;Кладовая;8,34;моющаяся краска;керамогранит;матовый;стеллажи до потолка;накладные светильники 4000К;концепция
R03;1;Гостевая спальня;13,68;теплый белый плюс изголовье;инженерная доска дуб;матовый белый;кровать 1600 шкаф рабочий стол тумба;L05 четыре спота 3000К плюс настольный свет;смоделировано
R04;1;Прихожая;6,08;теплый белый моющийся;керамогранит;матовый;шкаф до потолка банкетка зеркало;L10 споты 3000К датчик ночного прохода;смоделировано
R05;1;Гостевой санузел;3,43;керамогранит в мокрых зонах плюс влагостойкая краска;керамогранит R10;влагостойкий;инсталляция раковина душевая перегородка зеркало;L09 IP44 3000К плюс зеркало;смоделировано
R06;1;Котельная;8,24;негорючая моющаяся отделка;керамогранит;негорючий;оборудование после инженерного проекта;яркий технический свет 4000К;требует ТУ и проекта
R07;1;Лестница и коридор;11,82;теплый белый плюс деревянные рейки;дуб и керамогранит;матовый;лестница поручни неперелазное детское ограждение;L10 проходной свет и подсветка ступеней;концепция
R08;1;Кухня-гостиная;50,12;теплый белый микроцемент ТВ-стена светлый фартук;инженерная доска дуб;матовый белый;кухня с островом диван ТВ-стена стол на 6 мест встроенная техника;L01 рабочий L02 остров L03 гостиная L04 столовая L11 подсветка;смоделировано
R09;2;Спальня родителей;15,58;теплый белый мягкое изголовье;инженерная доска дуб;матовый белый;кровать 1800 тумбы туалетный стол Олеcи;L06 споты плюс два бра 3000К;смоделировано
R10;2;Гардероб родителей;7,47;моющаяся светлая краска;инженерная доска дуб;матовый;система хранения до потолка;линейный CRI90 3000К с датчиком;смоделировано
R11;2;Санузел родителей;11,17;крупноформатный светлый керамогранит;керамогранит R10;влагостойкий;ванна двойная тумба инсталляция зеркало;L09 IP44 плюс подсветка зеркала;смоделировано
R12;2;Холл;7,52;теплый белый;инженерная доска дуб;матовый;консоль закрытое хранение;L10 проходные споты плюс ночной сценарий;концепция
R13;2;Санузел детей;8,31;светлый керамогранит с цветными акцентами;керамогранит R10;влагостойкий;душевая 1200x800 инсталляция раковина зеркало;L09 IP44 3000К;смоделировано
R14;2;Детская Дарины;16,33;теплый белый и шалфейный акцент;инженерная доска дуб;матовый;кровать 1100 стол шкаф мат шведская стенка хранение лент и обручей;L07 четыре спота CRI90 плюс рабочий свет;смоделировано
R15;2;Детская Ярика;16,87;теплый белый и приглушенный синий акцент;инженерная доска дуб;матовый;кровать 1100 стол шкаф хранение формы и мяча;L08 четыре спота CRI90 плюс рабочий свет;смоделировано
R16;2;Балкон общий;около 19,7;непрозрачные торцевые экраны 1,80 м;морозостойкий нескользкий керамогранит;открытый;скамья-хранение стол диван;L13 четыре бра 3000К IP65;геометрия смоделирована нужен расчет конструктора
R17;1;Мангальная комната;около 37,5;светлая негорючая отделка и кирпич;керамогранит R11;открытая высокая кровля;мангал печь казан мойка столешница стол;L14 четыре потолочных IP65 плюс рабочая подсветка;концепция нужен пожарный и вентиляционный расчет
