code,name,model_or_status,body_dimensions_mm,c4d_position_m,source_url,approval
B01,Настенный одноконтурный газовый котёл,BAXI ECO Nova 2025 1.24 F,400x300x704,"X15.575;Y7.150;Z1.650",https://baxi.ru/production/domestic/wall/eco_nova_2025/100023941/,Подбор мощности и дымохода после теплопотерь и ТУ; лицензированный газовый проект
B02,Бойлер косвенного нагрева,ROMMER RWH-1110-000150,D496xH1200,"X14.550;Y7.150;Z0.700",https://www.rommer.ru/catalog/boylery/napolnyy_kosvennogo_nagreva/rommer-boyler-kosvennogo-nagreva-napolnyy-150-l/,Проверить расчёт ГВС и совместимость
B03,Гидравлический коллектор,Координационный габарит,180x700x900,"X13.480;Y7.150;Z1.250",,Модель после гидравлического расчёта
B04,Фильтрация и умягчение,Координационный габарит,500x450x1100,"X14.150;Y8.550;Z0.650",,Подбор после анализа воды
B05,Расширительный бак,Координационный габарит,D350xH500,"X15.300;Y8.550;Z0.400",,Объём после гидравлического расчёта
D01,Трап котельной,Координационная точка,150x150,"X14.850;Y8.300;Z0.115",,Узел и гидрозатвор согласовать с ВК
G01,Ввод газа кран и счётчик,По техническим условиям,Уточнить,"X15.580;Y8.500;Z1.250",,Только лицензированная газовая организация
A01,Датчик газа и сигнал отсечного клапана,По проекту газоснабжения,Уточнить,"X15.550;Y8.100;Z2.550",,Высоту и тип назначает проектировщик
E-B01,Питание котла 230 В,Отдельная группа с защитой,Уточнить,"X15.550;Y6.780;Z1.450",,Назначает ЭОМ по паспорту
E-B02,Сервисная розетка IP44,Координационная точка,Уточнить,"X13.450;Y8.750;Z1.100",,Назначает ЭОМ
F-B01,Коаксиальное дымоудаление,Концепция 60/100,Маршрут уточнить,"к восточной наружной стене",https://baxi.ru/production/domestic/wall/eco_nova_2025/100023941/,Трасса и терминал только по паспорту и согласованному проекту
V-B01,Верхняя вытяжка котельной,Координационное отверстие,300x200,"X15.880;Y8.620;Z2.550",,Площадь отверстия и расход рассчитать
V-B02,Низкий приток котельной,Координационное отверстие,300x200,"X15.880;Y8.620;Z0.350",,Площадь отверстия и расход рассчитать
