Этап;Что делает Дмитрий;Что делает специалист;Контрольный результат;Запрет перехода дальше
01 Обмер и обследование;Передаёт PDF, доступ на объект, список техники и пожелания семьи;Архитектор и инженер фиксируют фактические размеры, влажность, трещины, вводы и отметки;Обмерный план, фотофиксация, акт обследования;Нет подтверждённой геометрии и несущих элементов
02 Техническое задание;Утверждает комнаты, балкон, дверь из детской, баню 3×7, хозблок 1×3 и бюджет;Архитектор собирает единое ТЗ и журнал решений;Подписанное ТЗ и список открытых вопросов;Изменения не внесены во все разделы
03 Проекты;Утверждает мебель, оборудование и сценарии;Проектировщики выпускают АР/КР/ЭОМ/ВК/ОВ/СС/газ и сводят коллизии;Согласованный комплект и ведомость отверстий;Нет расчёта балкона, газа, мокрых зон или электрических защит
04 Демонтаж и усиление;Обеспечивает доступ и приёмку скрытых работ;Подрядчик выполняет проём двери детской, балкон и конструктивные усиления по КР;Акты, фото, исполнительные размеры;Нет акта конструктора и гидроизоляции балкона
05 Инженерные черновые сети;Утверждает места розеток и сантехники на объекте;Электрик, сантехник, вентиляция и отопление прокладывают сети по проектам;Испытания, фото до зашивки, маркировка, акты;Нет опрессовки, измерений, доступа к арматуре
06 Черновая отделка;Выбирает контрольные образцы;Штукатурка, стяжка, гидроизоляция и основания выполняются по картам;Геометрия лазером, влажность и акты гидроизоляции;Основания не высохли или вышли за допуски
07 Чистовая отделка;Утверждает выкрасы, плитку, свет и двери;Подрядчики выполняют чистовые покрытия и монтируют электроустановочные изделия;Акт качества по каждой комнате;Нет защищённых готовых поверхностей
08 Мебель и техника;Оплачивает только подтверждённые артикулы после контрольного замера;Мебельщики и поставщики производят, доставляют и подключают;Паспорта, гарантия, регулировка фасадов, тест техники;Габариты и инженерные подключения не проверены
09 Двор и наружные сети;Утверждает образцы покрытия и посадочный материал;Сначала дренаж/кабели/трубы, затем бетон, дорожки, свет, баня и хозблок;Уклоны, пролив, испытание света, исполнительная схема;Скрытые сети не сфотографированы
10 Озеленение;Принимает сорта и размеры растений;Ландшафтники готовят грунт, полив, посадки и мульчу;Ведомость растений, схема полива, гарантия приживаемости;Тяжёлые работы на участке не закончены
11 Пуск и приёмка;Получает инструкции семьи и комплект документов;Все системы проходят пусконаладку и независимый контроль;Исполнительные схемы, протоколы, гарантийный реестр, список замечаний;Критические замечания не закрыты
