Код;Система;Потребитель или точка;Исходное значение;Расположение;Ответственный;Статус;Запрет
E-K01;ЭОМ;Холодильник;по паспорту выбранного артикула;доступная розетка в соседней зоне;инженер ЭОМ плюс мебельщик;предварительно;не размещать за компрессором
E-K02;ЭОМ;Духовой шкаф;по паспорту выбранного артикула;розетка вне горячей и недоступной зоны;инженер ЭОМ;предварительно;не назначать кабель без расчета
E-K03;ЭОМ;Индукционная панель;7,0 кВт у текущего кандидата;отдельная линия от щита;инженер ЭОМ;кандидат недоступен;не штробить несущую стену без согласования
E-K04;ЭОМ;Посудомоечная машина;по паспорту выбранного артикула;розетка в соседнем модуле;инженер ЭОМ плюс мебельщик;предварительно;не ставить розетку за ПММ или под возможной протечкой
E-K05;ЭОМ;Вытяжка;по выбранной модели;над панелью с сервисным доступом;инженер ЭОМ плюс ОВ;предварительно;не выпускать без канала и обратного клапана
E-K06;ЭОМ;Розетки фартука;по сценарию техники;вне мойки и горячей зоны;инженер ЭОМ;предварительно;не назначать отметку до развертки
W-K01;ВК;Мойка и фильтр;ХВС ГВС слив;модуль K07;инженер ВК;предварительно;нужен доступ к арматуре и сифону
W-K02;ВК;Посудомоечная машина;ХВС и слив через доступный узел;соседний модуль мойки;инженер ВК;предварительно;не прятать соединения без ревизии
V-K01;ОВ;Вытяжной канал;расход по выбранной вытяжке и расчету;над K05;инженер ОВ;предварительно;не подключать к неподтвержденному каналу
L-K01;Свет;Рабочая подсветка;3000К CRI90 предложено;под верхними шкафами;светотехник плюс ЭОМ;предварительно;драйвер должен обслуживаться
L-K02;Свет;Остров;3000К CRI90 предложено;по оси острова;светотехник плюс ЭОМ;предварительно;проверить блики и диммирование
