ID;Раздел;Минимум ₽;Максимум ₽;Что включено;Статус
B01;Обследование обмеры проектирование;450000;950000;обмер дефектовка архитектура дизайн координация;предварительный диапазон
B02;Конструктив балкона и нового дверного проема;650000;1400000;расчет усиление проем узлы;без обследования не заказывать
B03;Проекты инженерных систем;350000;850000;ЭОМ ВК ОВ газ согласования;предварительный диапазон
B04;Электрика и освещение;1100000;2200000;щит кабель автоматика светильники монтаж;после расчета нагрузок
B05;Вода канализация отопление вентиляция газ;2400000;4300000;оборудование разводка монтаж пуск;газ только специализированная организация
B06;Черновая отделка;3500000;5700000;штукатурка стяжка гидроизоляция основания;после обмера площадей
B07;Чистовая отделка;4200000;7200000;краска плитка пол потолки двери работа;зависит от выбранных материалов
B08;Окна и двери;800000;1500000;новая балконная дверь межкомнатные порталы;после замера
B09;Кухня со столешницей и островом;700000;1500000;гарнитур фурнитура столешница монтаж;ориентир до дизайн-расчета
B10;Мебель всех помещений;1800000;3500000;шкафы кровати детские гостиная прихожая;после чистового замера
B11;Бытовая техника;550000;1100000;кухня стирка климат телевизоры;онлайн-цены меняются
B12;Сантехника;800000;1500000;два семейных санузла гостевой санузел;после подбора коллекций
B13;Мангальная комната;850000;1600000;столешница мангал печь мойка дымоудаление;нужны пожарный и вентиляционный расчеты
B14;Бетон дорожки дренаж;2100000;4000000;основания бетон мощение ливневка;после топосъемки
B15;Баня 3x7 и хозблок 1x3;1800000;3500000;коробка инженерия отделка оборудование;без геологии и сметы подрядчика
B16;Озеленение автополив наружный свет;1100000;2200000;растения грунт полив посадка свет;после анализа почвы
B17;Балкон 7,50 м отделка ограждение экраны;1200000;2400000;плита или металлокаркас отделка ограждение экраны;только после расчета конструктора
ИТОГО;Работы и комплектация без резерва;24650000;45400000;предпроектный диапазон не коммерческая смета;точность повышается после обмера и трех КП
РЕЗЕРВ;Рекомендуемый резерв 12 процентов;2958000;5448000;непредвиденные работы и изменение цен;держать отдельно
ВСЕГО;С резервом 12 процентов;27608000;50848000;ориентир для финансового планирования;не является офертой
