Группа;Зона;Состав;Цветовая температура;Защита;Управление;Сценарий;Статус
L01;Кухонная рабочая зона;4 встраиваемых спота плюс рабочая подсветка;3000К CRI90;IP20;диммер;готовка уборка;смоделировано концептуально
L02;Кухонный остров;3 подвеса;3000К CRI90;IP20;диммер;ужин готовка;смоделировано концептуально
L03;Гостиная;5 спотов;3000К CRI90;IP20;диммер;общий кино вечер;смоделировано концептуально
L04;Обеденный стол;1 подвес;3000К CRI90;IP20;диммер;семейный ужин;смоделировано концептуально
L05;Гостевая спальня;4 спота плюс настольный;3000К CRI90;IP20;проходной выключатель;общий чтение;смоделировано концептуально
L06;Спальня родителей;4 спота плюс 2 бра;3000К CRI90;IP20;проходные и диммер;общий чтение ночной;смоделировано концептуально
L07;Детская Дарины;4 спота плюс рабочий свет;3000К CRI90;IP20;диммер;общий учеба гимнастика;смоделировано концептуально
L08;Детская Ярика;4 спота плюс рабочий свет;3000К CRI90;IP20;диммер;общий учеба игра;смоделировано концептуально
L09;Санузлы;4 потолочных точки плюс зеркала;3000К CRI90;IP44 минимум;раздельные группы;общий зеркало ночной;смоделировано концептуально
L10;Холлы и лестница;4 спота плюс подсветка ступеней;3000К CRI90;IP20;проходные датчик движения;проход ночной;смоделировано концептуально
L11;Кухонная LED-подсветка;лента в профиле под шкафами;3000К CRI90;IP44;сенсор и диммер;рабочий ночной;смоделировано концептуально
L12;Дорожки;10 низких боллардов без слепящего света;3000К;IP65;астрореле плюс ручной;вечер безопасность;смоделировано концептуально
L13;Балкон;4 настенных бра;3000К;IP65;диммер из двух выходов;вечер безопасность;смоделировано концептуально
L14;Мангальная;4 потолочных плюс рабочая подсветка столешницы;3000К CRI90;IP65;раздельные группы;готовка общий;смоделировано концептуально
L15;Баня;3 фасадных светильника;3000К;IP65;ручной плюс датчик;вход вечер;смоделировано концептуально
L16;Фасады дома;4 архитектурных бра;3000К;IP65;астрореле;фасад праздник;смоделировано концептуально
L17;Хозблок;1 светильник;3000К;IP65;датчик движения;служебный;смоделировано концептуально
ПРИМЕЧАНИЕ;Весь объект;фактические кабели автоматы УЗО нагрузки и трассы;по проекту ЭОМ;по ПУЭ и условиям объекта;проектировщик электрики;пусконаладка;до монтажа обязателен рабочий проект
